Action	Actie
Add	Toevoegen
Advanced	Geavanceerd
Always	Altijd
App	App
Auto	Auto
Back	Terug
Bluetooth	Bluetooth
Bluetooth Pairing	Bluetooth-koppeling
Cancel	Annuleren
Channel	Kanaal
Chat	Chat
Chinese	Chinees
Close	Sluiten
Contacts	Contacten
Data Exchange	Gegevenslink
Delete	Verwijderen
Disabled	Uitgeschakeld
Discover	Ontdekken
Display Language	Schermtaal
Edit	Bewerken
Energy Sweep	RF-scan
English	Engels
English keyboard	Engels toetsenbord
Error	Fout
Factory Reset	Fabrieksreset
GPS	GPS
GPS Status	GPS-status
Hide	Verbergen
Info	Info
Loading...	Laden...
Map	Kaart
Map Layer	Kaartlaag
Nearby	Dichtbij
Network	Netwerk
New	Nieuw
No messages	Geen berichten
No recent traffic	Geen recent verkeer
Not set	Niet ingesteld
Number keyboard	Cijfertoetsenbord
OFF	UIT
OK	OK
ON	AAN
Pairing	Koppelen
PC Link	PC-koppeling
Power	Voeding
Protocol	Protocol
Ready	Klaar
Recent Activity	Recente activiteit
Reply	Antwoorden
Run	Uitvoeren
Save	Opslaan
Scan failed	Scannen mislukt
Scan Local	Lokaal scannen
Scanning 5s...	5 s scannen...
SEARCH	ZOEKEN
Screen Brightness	Schermhelderheid
Screen Timeout	Schermtimeout
Settings	Instellingen
Setting	Instelling
Sky Plot	Sky Plot
Speaker Volume	Luidsprekervolume
Status	Status
Stopped	Gestopt
Stop	Stoppen
Submit	Verzenden
System	Systeem
Team	Team
Team Status	Teamstatus
Time Zone	Tijdzone
Tracker	Tracker
Unknown	Onbekend
USB Disk	USB-schijf
User Name	Gebruikersnaam
Verification Number	Verificatienummer
Vibration	Trilling
Clear all settings and restart?	Alle instellingen wissen en herstarten?
